id,content,title
naedam_1,"[로그인 화면]
1.	ID입력란에 로그인 할 아이디와 Password 입력란에 패스워드를 입력합니다.
2.	Password 입력란 안에 있는 아이콘 클릭 시, 입력한 패스워드를 확인할 수 있습니다.
3.	Remember me 체크박스를 선택하면 다음 접속 시 아이디가 자동으로 저장되어 표시됩니다.
4.	패스워드를 잊어버린 경우 'Forgot Password?' 링크를 클릭하여 패스워드 재설정 페이지로 이동합니다.  작동 X
5.	LOGIN 버튼을 클릭하여 입주사 사이트에 로그인합니다.
6.	아이디 또는 패스워드가 틀릴 경우 오른쪽 상단에 빨간 박스 안에 '[E90000] Check your Email or Password' 내용의 메시지가 표시됩니다.",로그인 화면
naedam_2,"[대시보드 상단바]
1.        좌측 햄버거 버튼을 클릭하면, 현재 권한에 따라 접근 가능한 메뉴 목록이 표시됩니다.
2.        우측 상단에는 아래와 같은 기능 아이콘이 순서대로 배치되어 있습니다.
        가장 왼쪽에 위치한 1544-6543은 고객센터 번호입니다.
        프로필 아이콘 클릭 시, 비밀번호 변경 및 로그아웃이 가능하며, 비밀번호 변경은 현재 비밀번호를 있어야만 가능합니다. 
        그리드 아이콘 클릭 시, 접근 가능한 입주사 목록이 표시되며, 각 입주사를 선택하여 사이트 간 이동이 가능합니다.
        벨 아이콘 클릭 시, 등록된 공지사항을 확인할 수 있으며, 신규 공지가 있을 경우 빨간 점이 아이콘에 표시됩니다. 단, 같은 사이트 내 다른 사용자가 해당 공지를 확인한 경우 빨간 점은 사라집니다. 하단의 공지사항 전체보기 버튼을 클릭하면 공지사항 메뉴로 이동합니다.
        설정 아이콘 클릭 시, 사이트의 테마, 기본 색상 등을 변경할 수 있습니다.
        확장 아이콘 클릭 시, 전체화면 모드(F11과 동일한 기능)로 전환됩니다
",대시보드 상단바
naedam_3,"[대시보드 전경 사진을 기준으로 좌측]
1.	애니메이션 색상을 통해 현재 입주사 상태를 구분할 수 있습니다. 
	파란색 원 : 정상 상태
	빨간색 원 : 경보 상태
2.	‘긴급 발송’ 및 ‘업체 발송’ 버튼을 통해 필요한 메시지를 전송할 수 있습니다.
	해당 기능은 입주사 관리자가 미리 등록해두어야 사용할 수 있습니다. 일반 사용자는 메시지 추가 권한이 없습니다.
3.	입주사 위치 기반의 주간 예보가 표시됩니다.
4.	‘시설점검일정’ 메뉴에 등록된 일정 중 금일 기준 7일 이내의 일정이 표시됩니다.
5.	사용중인 공종리스트가 표시되며, 각 공종의 사용 여부를 On/Off로 설정할 수 있습니다. 각 공종별 경보 발생 수도 함게 표시됩니다.
	공종 설정은 입주사 관리자가 ‘입주사’메뉴를 통해 수정할 수 있습니다. 일반 사용자는 입주사 메뉴에 접근 권한이 없습니다.",대시보드 전경 사진을 기준으로 좌측
naedam_4,"[대시보드 전경 사진을 기준으로 우측]
1.	경보 등급별 발생 건 수가 표시됩니다. 등급은 관심, 주의, 경계, 심각으로 나뉩니다.
2.	발생한 경보 목록을 통해, 각 경보에 대한 처리 상태 및 발생 위치를 확인할 수 있습니다.
3.	‘상세보기’ 버튼을 클릭하면 처리 내역과 위치 정보를 확인할 수 있으며, cctv가 연결 된 경우 해당 cctv의 스냅샷 이미지도 함께 확인할 수 있습니다.
4.	경보 발생 시 해당 경보와 연결 된 스냅샷 이미지와 sop(표준운영절차)가 자동으로 표시됩니다. 여러 경보 발생의 경우, 가장 최신 경보의 sop가 우선 표시 됩니다.",대시보드 전경 사진을 기준으로 우측
naedam_5,"[메뉴 – 대시보드]
1.	다른 메뉴에서 대시보드로 이동하고자 할 때 클릭하여 대시보드로 이동할 수 있습니다.",메뉴 – 대시보드
naedam_6,"[메뉴 - 월간 리포트, 권한 : 시스템관리자, 관리자, 사용자]
1.	리포트를 받을 해당 연도를 선택하여 '다운로드' 버튼을 클릭하면, 선택한 연도의 전체 경보 정보를 엑셀로 다운로드하여 확인할 수 있습니다.
2.	리포트 템플릿은 입주사 관리자가 '입주사' 메뉴의 상세정보에서 등록한 월간 보고서 양식에 따라 선택한 연도의 월별 리포트가 조회됩니다. 
3.	‘조회’ 버튼을 누르면 당월, 전월, 요일별, 공종별 경보 목록, 등급별 차트를 월간 리포트로 제공하고 월간리포트를 PDF, 엑셀 다운로드 혹은 이메일로 발송할 수 있습니다.
4.	입주사 관리자가 '입주사' 메뉴의 상세정보에 월간보고서 수신자를 등록해두었을 경우, 이메일 발송 시 수신자를 자동으로 불러오며, 그 외 수신자를 추가할 경우에는 이메일 주소를 쉼표(,)로 구분하여 수신자를 추가할 수 있습니다.
","메뉴 - 월간 리포트, 권한 : 시스템관리자, 관리자, 사용자"
naedam_7,"[메뉴 - 경보목록, 권한 : 시스템관리자, 관리자, 사용자 ]
1.	입주사에서 발생한 경보목록을 최신순으로 보여줍니다.
2.	공종, 경보등급, 확인여부, 시작날짜, 종료 날짜의 드롭다운 메뉴를 통해 조건에 맞는 목록을 조회할 수 있습니다.
3.	초기화 버튼을 통해 선택했던 드롭다운 메뉴를 초기화하여 전체 경보 목록을 조회할 수 있습니다.
4.	당월에 발생한 경보 목록을 엑셀로 다운로드할 수 있는 기능을 제공하며, 다운로드 버튼을 통해 확인할 수 있습니다.
5.	'상세' 버튼을 누르면 해당 경보의 상세 내역을 확인할 수 있으며 경보 위치의 MAP과 CCTV를 확인할 수 있습니다.
	CCTV가 확인되지 않는 경우에는 '관제점' 메뉴에서 'CCTV 관리' 버튼을 눌러 사용여부를 먼저 확인해보셔야 합니다. 확인 후에도 영상이 표시되지 않는다면 CCTV 주소 설정이 잘못되었을 가능성이 있습니다. 
6.	관리자가 '입주사' 메뉴의 공종 탭에서 등록한 공종 보고서 타입에 따라 SK, 빌딩온(BD) 타입으로 보고서가 노출됩니다. (사용자는 해당 메뉴에 대한 권한이 제한됩니다)
7.	관리자가 '입주사' 메뉴의 공종 탭에서 수신 대상자를 추가해두었다면 자동으로 수신자를 불러옵니다. (사용자는 해당 메뉴에 대한 권한이 제한됩니다)
8.	공종별 경보 리포트를 이메일로 발송하거나 다운로드 할 수 있습니다.","메뉴 - 경보목록, 권한 : 시스템관리자, 관리자, 사용자 "
naedam_8,"[메뉴 - 긴급메시지, 권한 : 시스템관리자, 관리자 ]
1.	대시보드 좌측 상단에서 긴급메시지를 발송하기 위해 초기 설정해두어야 하는 부분입니다.
2.	긴급 메시지는 긴급 상황 시 연락이 닿아야 하는 사람들의 번호를 미리 추가해두고, 긴급 상황 발생 시 대시보드에 있는 '긴급발송' 버튼을 눌러 연락을 보낼 수 있는 기능입니다.
3.	'추가' 버튼을 사용하여 긴급메시지 제목, 내용, 수신타입, 수신대상자를 지정하고 추가할 수 있습니다.
4.	이미 등록된 긴급 메시지를 수정하려는 경우, 제목을 눌러 수정할 수 있습니다.
5.	긴급메시지는 전화, 카톡, 문자 중 선택하여 수신이 가능하며, 수신타입에서 지정해야 합니다.
6.	추가해둔 메시지를 삭제하고자 하는 경우, 좌측 체크박스를 체크한 후 우측 상단에 '삭제'버튼을 눌러 삭제할 수 있습니다.","메뉴 - 긴급메시지, 권한 : 시스템관리자, 관리자 "
naedam_9,"[메뉴 - 업체발송, 권한 : 시스템관리자, 관리자 ]
1.	대시보드 좌측 상단에서 업체메시지를 발송하기 위해 초기 설정해두어야 하는 부분입니다.
2.	업체 발송 메시지는 업체 번호를 미리 추가해두고, 전달이 필요한 상황에 직접 연락하지 않고도 메시지를 보낼 수 있는 기능입니다.
3.	'추가' 버튼을 사용하여 업체 발송 메시지 제목, 내용, 수신타입, 수신대상자를 지정하고 추가할 수 있습니다.
4.	이미 등록된 업체 발송 메시지를 수정하려는 경우, 제목을 눌러 수정할 수 있습니다.
5.	업체 발송 메시지는 전화, 카톡, 문자 중 선택하여 수신이 가능하며, 수신타입에서 지정해야 합니다.
6.	추가해둔 메시지를 삭제하고자 하는 경우, 좌측 체크박스를 체크한 후 우측 상단에 '삭제'버튼을 눌러 삭제할 수 있습니다.
","메뉴 - 업체발송, 권한 : 시스템관리자, 관리자 "
naedam_10,"[메뉴 - 시설점검일정, 권한 : 시스템관리자, 관리자, 사용자 ]
1.	추가해둔 시설점검일정을 월/주/일/리스트형으로 조회할 수 있습니다. 
2.	일정을 등록하고자 하는 날짜를 클릭하면 일정등록 팝업이 나타납니다. 팝업에서 점검 제목, 일정날짜, 내용을 작성하고 저장합니다.
	종일 일정인 경우 토글버튼을 ON으로 설정하고, 시간 지정이 필요한 경우에는 시작일 및 시간과 종료일 및 시간을 입력합니다.
3.	등록한 일정은 대시보드 좌측에서 확인할 수 있으며, 삭제하려면 등록된 일정을 선택한 후 휴지통 아이콘을 클릭합니다.
","메뉴 - 시설점검일정, 권한 : 시스템관리자, 관리자, 사용자 "
naedam_11,"[메뉴 - 공지사항, 권한 : 시스템관리자, 관리자, 사용자(읽기 전용) ] 
1.	관리자가 등록한 공지사항을 확인할 수 있습니다.
2.	검색 필드에서 키워드를 입력하여 해당 내용이 포함된 공지사항을 검색할 수 있습니다.
3.	시스템관리자와 관리자는 '추가' 버튼을 통해 새로운 공지사항을 작성할 수 있습니다.
4.	일반 사용자는 공지사항을 조회하고 읽을 수만 있으며, 작성 및 수정 권한은 없습니다.
5.	공지사항 목록에서 행을 클릭하면 해당 공지의 상세 내용을 확인할 수 있습니다. 
6.	공지사항은 최신순으로 정렬되어 표시되며, 중요 공지는 목록 상단에 표시됩니다.
","메뉴 - 공지사항, 권한 : 시스템관리자, 관리자, 사용자(읽기 전용) "
naedam_12,"[메뉴 - 입주사, 권한 : 시스템관리자, 관리자 ]
1.	좌측 입주사명을 선택하고 상단 '상세정보'버튼을 클릭하면 현재 입주사의 상세정보를 확인할 수 있습니다.
	월간 보고서 양식은 기본으로 빌딩온 양식으로 되어 있으며, 월간보고서 수신자는 '수신자 추가'버튼을 눌러 수신자를 추가할 수 있습니다.
	추가 할 수신자는 '사용자'메뉴에서 해당 사람을 추가할 때 이메일이 작성되어 있는 사람을 기준으로 추가할 수 있도록 되어 있습니다. 
로봇 등록 추가 설명 필요
2.	상단 '공종' 버튼을 클릭하면 현재 입주사에서 어떤 공종을 사용중인지 확인할 수 있습니다. 
	현재 등록된 공종이 없다면 '공종 추가'버튼을 눌러 사용 할 공종을 추가할 수 있습니다. 
	등록된 공종의 오른쪽 끝에 있는 연필 모양 아이콘(수정 버튼)을 클릭하면 해당 공종의 상세 설정을 수정할 수 있는 팝업 창이 열립니다.
	팝업에서는 다음 항목들을 설정할 수 있습니다:
①	공종명: 공종 이름을 입력할 수 있습니다.
②	공종 아이콘: 사용하고 싶은 아이콘명을 입력하거나 https://pictogrammers.com/library/mdi/ 페이지에서 원하는 아이콘을 직접 선택할 수 있습니다.
③	예를 들어 아이콘의 이름이 ‘mdiFireAlert’일 경우 대문자를 기준으로 앞에 하이픈(-)을 붙이고 대문자를 모두 소문자로 변경하여 ‘mdi-fire-alert’로 변경한 값을 아이콘 이름에 넣어주면 됩니다.
④	사용여부: 해당 공종의 사용여부를 체크박스로 설정할 수 있습니다.
⑤	공종 SOP사용여부(경보 팝업 여부) : 해당 공종의 SOP 사용여부를 체크박스로 설정할 수 있습니다.
⑥	공종 보고서 타입 : 보고서 확인 시 사용될 형식을 드롭다운에서 선택할 수 있습니다. 보고서 형식은 빌딩온_공종과, SK_공종 보고서가 존재합니다.
⑦	수신 대상자: 보고서를 이메일로 받을 대상자를 입력하고 추가할 수 있습니다. 추가 할 수신자는 '사용자'메뉴에서 해당 사람을 추가할 때 이메일이 작성되어 있는 사람을 기준으로 추가할 수 있도록 되어 있습니다. 
3.	상단 '지역' 버튼을 클릭하면 현재 입주사에서 사용중인 전경 및 지역 이미지가 존재합니다. 수정 버튼을 눌러 이미지를 수정할 수 있습니다.
4.	상단 '에너지' 버튼을 클릭하면 현재 입주사의 에너지 사용 및 날씨예보, 미세먼지 지역에 대해 선택할 수 있습니다.
5.	상단 '큐브' 버튼을 클릭하면 현재 입주사에서 사용중인 큐브의 이름과, 시리얼 번호 및 위치를 확인할 수 있습니다.","메뉴 - 입주사, 권한 : 시스템관리자, 관리자 "
naedam_13,"[메뉴 - 관제점, 권한 : 시스템관리자, 관리자, 사용자 ]
1.	관제점 검색 및 필터링
	상단의 검색 필터를 통해 다양한 조건으로 관제점을 검색할 수 있습니다.
	큐브, 공종, 지역, 프로토콜, 경보 등급, 사용 여부 등의 드롭다운 메뉴에서 원하는 조건을 선택하거나,
	관제점명 입력란에 직접 텍스트를 입력한 후 ‘조회’ 버튼을 클릭하면 해당 조건으로 필터링 된 결과가 표시됩니다.
	‘초기화’ 버튼을 클릭하면 모든 검색 조건이 초기 상태로 되돌아갑니다.
2.	관제점 관리
	관제점 목록에서 원하는 항목의 체크박스를 선택한 뒤, 상단의 ‘사용’ 또는 ‘미사용’ 버튼을 클릭하여 해당 관제점의 사용 상태를 일괄 변경할 수 있습니다.
	‘추가’ 버튼을 클릭하면 새 관제점을 등록할 수 있는 입력창이 열리며, 관제점 정보를 입력 후 등록할 수 있습니다.  
	다운로드 버튼을 클릭하면 등록된 모든 관제점 정보를 엑셀 파일로 내려받을 수 있습니다.
3.	관제점 수정 버튼을 눌러 원하는 정보를 수정할 수 있습니다. 
	입주사 명과, 공종명을 선택할 수 있고 받고자 하는 경보의 관제점 명을 수정할 수 있습니다.
	경보 받을 시, 메시지 타입 (전화, 문자, 카톡)을 선택할 수 있고 해당 관제점 경보가 울렸을 때 cctv가 나오지 않는다면 cctv 관리에서 주소를 확인해봐야 합니다.
	경보 알람이 오지 않는다면 사용여부와 수집시간을 확인해봐야 합니다.
","메뉴 - 관제점, 권한 : 시스템관리자, 관리자, 사용자 "
naedam_14,"[메뉴 - 사용자, 권한 : 시스템관리자, 관리자 ]
1.	이 화면에서는 사용자, 관계자 두 개의 탭이 있습니다.
2.	로그인 하여 사이트를 확인할 사람의 경우 사용자, 그 이외에 경보 발생 시 연락만 받는 용도라면 관계자로 등록해도 됩니다.
	사용자
①	입주사 사이트에 등록된 사용자 목록을 확인할 수 있으며, 상단의 조회 필드에 아이디, 성명, 연락처 등을 입력해 등록된 사용자를 조회할 수 있습니다.
②	'추가' 버튼을 눌러 각 항목을 입력 후 저장하면 새로운 사용자가 등록되며, 해당 사용자는 입력한 아이디와 비밀번호로 입주사 사이트에 로그인할 수 있습니다.
③	'추가' 옆의 '다운로드'버튼을 눌러 현재 사용자 목록을 엑셀파일로 다운로드 할 수 있습니다.
④	수정이 필요한 사용자의 '수정' 버튼을 클릭하여 정보를 변경할 수 있습니다.
⑤	근무 / 휴무 버튼을 통해 사용자의 일정 상태를 설정할 수 있습니다. 
	관계자
①	입주사 사이트에 등록된 관계자 목록을 확인할 수 있으며, 상단의 조회 필드에 성명, 직급 등을 입력해 등록된 관계자를 조회할 수 있습니다.
②	'추가' 버튼을 눌러 각 항목을 입력 후 저장하면 새로운 관계자가 등록됩니다. 이때 '업체 유무' 체크박스는 업체 발송 메시지 수신자를 구분하기 위함이며 업체 쪽 관계자일 때 체크하면 됩니다.
③	'추가' 옆의 '다운로드'버튼을 눌러 현재 관계자 목록을 엑셀파일로 다운로드 할 수 있습니다.
④	수정이 필요한 관계자의 '수정' 버튼을 클릭하여 정보를 변경할 수 있습니다.
","메뉴 - 사용자, 권한 : 시스템관리자, 관리자 "
naedam_15,"[메뉴 – 금일전체경보현황, 권한 : 시스템관리자]
1.        관제점 등록 시 설정한 경보등급에 따라 당일 경보 수와 한달 경보 수를 한 눈에 확인할 수 있습니다.
2.        경보등급은 심각, 경계, 주의, 관심으로 나뉘며 금일 전체경보현황을 확인할 수 있습니다..
","메뉴 – 금일전체경보현황, 권한 : 시스템관리자"
naedam_16,"[메뉴 - 시뮬레이터, 권한 : 시스템관리자]
1.	등록된 관제점의 경보가 잘 울리는지 테스트하는 페이지입니다.
2.	상단에는 현재 입주사 사이트에 등록된 공종을 확인할 수 있으며, 시뮬레이터를 울릴 공종을 클릭하면 해당 공종에 등록된 관제점을 확인할 수 있고 우측 '경보'버튼을 눌러 경보를 울릴 수 있습니다.
","메뉴 - 시뮬레이터, 권한 : 시스템관리자"
naedam_17,"[메뉴 - 대시보드 관리, 권한 : 시스템관리자]
1.	시스템관리자는 기본 제공되는 대시보드를 원하는 위젯으로 자유롭게 구성할 수 있습니다.
2.	좌측 상단에서 Sample로 설정된 대시보드를 선택할 수 있으며, 필요한 경우 우측 위젯 리스트에서 원하는 위젯을 드래그 앤 드롭하여 배치를 변경할 수 있습니다.
3.	대시보드 구성이 완료되면 좌측 하단의 저장 버튼을 클릭하여 변경 내용을 저장해야 합니다. 변경 전 상태로 되돌리고 싶은 경우, 초기화 버튼을 클릭하여 기본 상태로 초기화할 수 있습니다.
","메뉴 - 대시보드 관리, 권한 : 시스템관리자"
naedam_18,"[메뉴 - 전체 발신 현황, 권한 : 시스템관리자]
1.	경보 발생 시 발송된 전화, 문자, 카카오톡, 긴급메시지의 발신 현황을 확인할 수 있습니다.
2.	입주사, 시작 연도 및 시작일, 종료 연도 및 종료일을 선택한 후 조회하면 해당 조건에 해당하는 발신 내역이 표시됩니다.
3.	다운로드 버튼을 클릭하면, 조회된 내용을 엑셀 파일로 다운로드 할 수 있습니다.
4.	경보를 확인 할 입주사, 시작연도, 시작일, 종료연도, 종료일을 선택하여 조회할 수 있고 '다운로드'버튼을 클릭하여 엑셀 파일로 다운로드 할 수 있습니다.
","메뉴 - 전체 발신 현황, 권한 : 시스템관리자"
naedam_19,"[메뉴 - 하트비트, 권한 : 시스템관리자]
1.	입주사에서 사용 중인 서버, 클라이언트, 큐브의 서비스 상태를 확인할 수 있습니다.
2.	각 장비에 추가된 원형 버튼을 클릭하면 상세 정보를 볼 수 있으며, 상태가 정상일 경우 흰색, 비정상일 경우 시스템 테마 기준으로 보라색으로 표시됩니다.
3.	모니터링 대상 중 하나라도 비정상일 경우, 우측의 상태 '비정상' 이라고 표시됩니다.
","메뉴 - 하트비트, 권한 : 시스템관리자"
naedam_20,"[메뉴 - 옵저버, 권한 : 시스템관리자, 관리자 ] 
1.	옵저버 메뉴는 좌측에 사용자 목록, 우측에 입주사 목록으로 구성되어 있습니다.
2.	시스템관리자는 특정 사용자에게 다른 입주사 사이트를 열람할 수 있는 '옵저버 권한'을 부여할 수 있습니다.
	옵저버 권한 부여 방법
①	좌측 사용자 목록에서 권한을 부여할 사용자를 선택합니다.
②	우측 입주사 목록에서 해당 사용자가 열람할 수 있도록 허용할 입주사를 선택합니다.
③	상단 우측 저장 버튼을 클릭하면 선택한 사용자에게 해당 입주사에 대한 옵저버 권한이 부여됩니다.
④	옵저버 권한이 부여된 사용자는 자신의 계정으로 로그인한 상태에서 타 입주사 사이트를 열람할 수 있습니다. 단, 경보 알람 처리는 불가능하며 그 외 기능은 정상적으로 사용할 수 있습니다.
","메뉴 - 옵저버, 권한 : 시스템관리자, 관리자 "
naedam_21,"[메뉴 - 설비관리, 권한 : 시스템관리자, 관리자, 사용자 ]
1.	등록된 소방수신기 등의 장비를 검색할 수 있습니다.
	제조업체, 납품업체, 위치, 카테고리, 사용 여부 등의 드롭다운 메뉴를 선택한 뒤, 돋보기 아이콘 버튼을 클릭하면 해당 조건으로 필터링 됩니다.
	• '초기화' 버튼을 클릭하면 모든 검색 조건이 초기 상태로 되돌아갑니다.
2.	우측 상단의 문서 추가 아이콘을 클릭하여 새로운 설비 장비를 등록할 수 있으며, 엑셀 아이콘을 클릭하면 등록된 설비 장비 목록을 엑셀 파일로 다운로드 할 수 있습니다","메뉴 - 설비관리, 권한 : 시스템관리자, 관리자, 사용자 "
naedam_22,"[메뉴 - VOC, 권한 : 시스템관리자, 관리자, 사용자 ]
1.	등록한 VOC, 즉 AS접수를 검색할 수 있습니다.
	제목, 작성자, 처리 상태, AS 접수일 등 필드를 활용하여 검색 버튼을 클릭하면 해당 조건으로 필터링 됩니다.
	'초기화'버튼을 클릭하면 모든 검색 조건이 초기 상태로 되돌아갑니다.
2.	'등록'버튼을 클릭하여 새로운 AS를 등록할 수 있으며, 각 필드를 채운 후 저장 버튼을 눌러야 최종 등록이 완료됩니다.
3.	등록된 AS의 제목을 클릭하면 상세 화면으로 이동하며, 하단의 삭제, 수정 버튼을 통해 해당 AS를 삭제하거나 수정할 수 있습니다.
	AS는 처음 등록 시 ‘접수’ 상태로 표시되며, 관리자가 확인 후 ‘처리중’ → ‘처리완료’ 상태로 변경됩니다. 처리 완료 시에는 관리자의 답글을 확인할 수 있습니다.
","메뉴 - VOC, 권한 : 시스템관리자, 관리자, 사용자 "